imgt,tenx,adaptive,adaptivev2
TRGJ1-2*01,TRGJ1-2,TCRGJ01-02*01,TCRGJ01-02*01
TRGJ2-1*01,TRGJ2-1,TCRGJ02-01*01,TCRGJ02-01*01
TRGJ2-2*01,TRGJ2-2,TCRGJ02-02*01,TCRGJ02-02*01
TRGJ2-3*01,TRGJ2-3,TCRGJ02-03*01,TCRGJ02-03*01
TRGV1*01,TRGV1,TCRGV01-01*01,TCRGV01-01*01
TRGV10*01,TRGV10,TCRGV10-01*01,TCRGV10-01*01
TRGV11*01,TRGV11,TCRGV11-01*01,TCRGV11-01*01
TRGV2*01,TRGV2,TCRGV02-01*01,TCRGV02-01*01
TRGV3*01,TRGV3,TCRGV03-01*01,TCRGV03-01*01
TRGV6*01,TRGV6,TCRGV06-01*01,TCRGV06-01*01
TRGV8*01,TRGV8,TCRGV08-01*01,TCRGV08-01*01
TRGV9*01,TRGV9,TCRGV09-01*01,TCRGV09-01*01
TRGVA*01,TRGVA,TCRGVA-01*01,TCRGVA-01*01
TRGVB*01,TRGVB,TCRGVB-01*01,TCRGVB-01*01
TRGVC*01,TRGVC,NoData,NoData
TRGVD*01,TRGVD,TCRGVD-01*01,TCRGVD-01*01
