tenx,imgt,adaptive,adaptivev2
TRAV14-2,TRAV14-2*01,TCRAV14-02*01,TCRAV14-02*01
TRAV15,TRAV15*01,TCRAV15-01*01,TCRAV15-01*01
TRAV16,TRAV16*01,TCRAV16-01*01,TCRAV16-01*01
TRAV17,TRAV17*01,TCRAV17-01*01,TCRAV17-01*01
TRAV18,TRAV18*01,TCRAV18-01*01,TCRAV18-01*01
TRAV19,TRAV19*01,TCRAV19-01*01,TCRAV19-01*01
TRAV2,TRAV2*01,TCRAV02-01*01,TCRAV02-01*01
TRAV20,TRAV20*01,TCRAV20-01*01,TCRAV20-01*01
TRAV21,TRAV21*01,TCRAV21-01*01,TCRAV21-01*01
TRAV22-1,TRAV22-1*01,TCRAV22-01*01,TCRAV22-01*01
TRAV22-2,TRAV22-2*01,TCRAV22-02*01,TCRAV22-02*01
TRAV22-3,TRAV22-3*01,TCRAV22-03*01,TCRAV22-03*01
TRAV23-1,TRAV23-1*01,TCRAV23-01*01,TCRAV23-01*01
TRAV23-2,TRAV23-2*01,TCRAV23-02*01,TCRAV23-02*01
TRAV23-3,TRAV23-3*01,TCRAV23-03*01,TCRAV23-03*01
TRAV23-4,TRAV23-4*01,TCRAV23-04*01,TCRAV23-04*01
TRAV24,TRAV24*01,TCRAV24-01*01,TCRAV24-01*01
TRAV24-1,TRAV24-1*01,TCRAV24-01*01,TCRAV24-01*01
TRAV25,TRAV25*01,TCRAV25-01*01,TCRAV25-01*01
TRAV25-1,TRAV25-1*01,TCRAV25-01*01,TCRAV25-01*01
TRAV26-1,TRAV26-1*01,TCRAV26-01*01,TCRAV26-01*01
TRAV26-2,TRAV26-2*01,TCRAV26-02*01,TCRAV26-02*01
TRAV26-3,TRAV26-3*01,TCRAV26-03*01,TCRAV26-03*01
TRAV27,TRAV27*01,TCRAV27-01*01,TCRAV27-01*01
TRAV29,TRAV29*01,TCRAV29-01*01,TCRAV29-01*01
TRAV3,TRAV3*01,TCRAV03-01*01,TCRAV03-01*01
TRAV30,TRAV30*01,TCRAV30-01*01,TCRAV30-01*01
TRAV32,TRAV32*01,TCRAV32-01*01,TCRAV32-01*01
TRAV33,TRAV33*01,TCRAV33-01*01,TCRAV33-01*01
TRAV34,TRAV34*01,TCRAV34-01*01,TCRAV34-01*01
TRAV35,TRAV35*01,TCRAV35-01*01,TCRAV35-01*01
TRAV36,TRAV36*01,TCRAV36-01*01,TCRAV36-01*01
TRAV37,TRAV37*01,TCRAV37-01*01,TCRAV37-01*01
TRAV38-1,TRAV38-1*01,TCRAV38-01*01,TCRAV38-01*01
TRAV38-2,TRAV38-2*01,TCRAV38-02*01,TCRAV38-02*01
TRAV39,TRAV39*01,TCRAV39-01*01,TCRAV39-01*01
TRAV4,TRAV4*01,TCRAV04-01*01,TCRAV04-01*01
TRAV40,TRAV40*01,TCRAV40-01*01,TCRAV40-01*01
TRAV41,TRAV41*01,TCRAV41-01*01,TCRAV41-01*01
TRAV46,TRAV46*01,TCRAV46-01*01,TCRAV46-01*01
TRAV5,TRAV5*01,TCRAV05-01*01,TCRAV05-01*01
TRAV6,TRAV6*01,TCRAV06-01*01,TCRAV06-01*01
TRAV8-1,TRAV8-1*01,TCRAV08-01*01,TCRAV08-01*01
TRAV8-2,TRAV8-2*01,TCRAV08-02*01,TCRAV08-02*01
TRAV8-3,TRAV8-3*01,TCRAV08-03*01,TCRAV08-03*01
TRAV8-4,TRAV8-4*01,TCRAV08-04*01,TCRAV08-04*01
TRAV8-5,TRAV8-5*01,TCRAV08-05*01,TCRAV08-05*01
TRAV8-6,TRAV8-6*01,TCRAV08-06*01,TCRAV08-06*01
TRAV8-7,TRAV8-7*01,TCRAV08-07*01,TCRAV08-07*01
TRAV9-1,TRAV9-1*01,TCRAV09-01*01,TCRAV09-01*01
TRAV9-2,TRAV9-2*01,TCRAV09-02*01,TCRAV09-02*01
TRAVA,TRAVA*01,TCRAVA-01*01,TCRAVA-01*01
TRAVB,TRAVB*01,TCRAVB-01*01,TCRAVB-01*01
TRAVC,TRAVC*01,NoData,NoData
TRBC1,TRBC1*01,NoData,NoData
TRBC2,TRBC2*01,NoData,NoData
TRBD1,TRBD1*01,TCRBD01-01*01,TCRBD01-01*01
TRBD2,TRBD2*01,TCRBD02-01*01,TCRBD02-01*01
TRBJ1-1,TRBJ1-1*01,TCRBJ01-01*01,TCRBJ01-01*01
TRBJ1-2,TRBJ1-2*01,TCRBJ01-02*01,TCRBJ01-02*01
TRBJ1-3,TRBJ1-3*01,TCRBJ01-03*01,TCRBJ01-03*01
TRBJ1-4,TRBJ1-4*01,TCRBJ01-04*01,TCRBJ01-04*01
TRBJ1-5,TRBJ1-5*01,TCRBJ01-05*01,TCRBJ01-05*01
TRBJ1-6,TRBJ1-6*01,TCRBJ01-06*01,TCRBJ01-06*01
TRBJ2-1,TRBJ2-1*01,TCRBJ02-01*01,TCRBJ02-01*01
TRBJ2-2,TRBJ2-2*01,TCRBJ02-02*01,TCRBJ02-02*01
TRBJ2-2P,TRBJ2-2P*01,TCRBJ02-02P*01,TCRBJ02-02P*01
TRBJ2-3,TRBJ2-3*01,TCRBJ02-03*01,TCRBJ02-03*01
TRBJ2-4,TRBJ2-4*01,TCRBJ02-04*01,TCRBJ02-04*01
TRBJ2-5,TRBJ2-5*01,TCRBJ02-05*01,TCRBJ02-05*01
TRBJ2-6,TRBJ2-6*01,TCRBJ02-06*01,TCRBJ02-06*01
TRBJ2-7,TRBJ2-7*01,TCRBJ02-07*01,TCRBJ02-07*01
TRBV1-1,TRBV1-1*01,TCRBV01-01*01,TCRBV01-01*01
TRBV1-2,TRBV1-2*01,TCRBV01-02*01,TCRBV01-02*01
TRBV1-3,TRBV1-3*01,TCRBV01-03*01,TCRBV01-03*01
TRBV10-1,TRBV10-1*01,TCRBV10-01*01,TCRBV10-01*01
TRBV10-2,TRBV10-2*01,TCRBV10-02*01,TCRBV10-02*01
TRBV10-3,TRBV10-3*01,TCRBV10-03*01,TCRBV10-03*01
TRBV11-1,TRBV11-1*01,TCRBV11-01*01,TCRBV11-01*01
TRBV11-2,TRBV11-2*01,TCRBV11-02*01,TCRBV11-02*01
TRBV11-3,TRBV11-3*01,TCRBV11-03*01,TCRBV11-03*01
TRBV12-1,TRBV12-1*01,TCRBV12-01*01,TCRBV12-01*01
TRBV12-2,TRBV12-2*01,TCRBV12-02*01,TCRBV12-02*01
TRBV12-3,TRBV12-3*01,TCRBV12-03*01,TCRBV12-03*01
TRBV12-4,TRBV12-4*01,TCRBV12-04*01,TCRBV12-04*01
TRBV13,TRBV13*01,TCRBV13-01*01,TCRBV13-01*01
TRBV14,TRBV14*01,TCRBV14-01*01,TCRBV14-01*01
TRBV15,TRBV15*01,TCRBV15-01*01,TCRBV15-01*01
TRBV16,TRBV16*01,TCRBV16-01*01,TCRBV16-01*01
TRBV18,TRBV18*01,TCRBV18-01*01,TCRBV18-01*01
TRBV19,TRBV19*01,TCRBV19-01*01,TCRBV19-01*01
TRBV2-1,TRBV2-1*01,TCRBV02-01*01,TCRBV02-01*01
TRBV2-2,TRBV2-2*01,TCRBV02-02*01,TCRBV02-02*01
TRBV2-3,TRBV2-3*01,TCRBV02-03*01,TCRBV02-03*01
TRBV20-1,TRBV20-1*01,TCRBV20-01*01,TCRBV20-01*01
TRBV21-1,TRBV21-1*01,TCRBV21-01*01,TCRBV21-01*01
TRBV22-1,TRBV22-1*01,TCRBV22-01*01,TCRBV22-01*01
TRBV23-1,TRBV23-1*01,TCRBV23-01*01,TCRBV23-01*01
TRBV24-1,TRBV24-1*01,TCRBV24-01*01,TCRBV24-01*01
TRBV25-1,TRBV25-1*01,TCRBV25-01*01,TCRBV25-01*01
TRBV26,TRBV26*01,TCRBV26-01*01,TCRBV26-01*01
TRBV27,TRBV27*01,TCRBV27-01*01,TCRBV27-01*01
TRBV28,TRBV28*01,TCRBV28-01*01,TCRBV28-01*01
TRBV29-1,TRBV29-1*01,TCRBV29-01*01,TCRBV29-01*01
TRBV3-1,TRBV3-1*01,TCRBV03-01*01,TCRBV03-01*01
TRBV3-2,TRBV3-2*01,TCRBV03-02*01,TCRBV03-02*01
TRBV3-3,TRBV3-3*01,TCRBV03-03*01,TCRBV03-03*01
TRBV3-4,TRBV3-4*01,TCRBV03-04*01,TCRBV03-04*01
TRBV30,TRBV30*01,TCRBV30-01*01,TCRBV30-01*01
TRBV4-1,TRBV4-1*01,TCRBV04-01*01,TCRBV04-01*01
TRBV4-2,TRBV4-2*01,TCRBV04-02*01,TCRBV04-02*01
TRBV4-3,TRBV4-3*01,TCRBV04-03*01,TCRBV04-03*01
TRBV5-1,TRBV5-1*01,TCRBV05-01*01,TCRBV05-01*01
TRBV5-10,TRBV5-10*01,TCRBV05-010*01,TCRBV05-010*01
TRBV5-2,TRBV5-2*01,TCRBV05-02*01,TCRBV05-02*01
TRBV5-3,TRBV5-3*01,TCRBV05-03*01,TCRBV05-03*01
TRBV5-4,TRBV5-4*01,TCRBV05-04*01,TCRBV05-04*01
TRBV5-5,TRBV5-5*01,TCRBV05-05*01,TCRBV05-05*01
TRBV5-6,TRBV5-6*01,TCRBV05-06*01,TCRBV05-06*01
TRBV5-7,TRBV5-7*01,TCRBV05-07*01,TCRBV05-07*01
TRBV5-8,TRBV5-8*01,TCRBV05-08*01,TCRBV05-08*01
TRBV5-9,TRBV5-9*01,TCRBV05-09*01,TCRBV05-09*01
TRBV6-1,TRBV6-1*01,TCRBV06-01*01,TCRBV06-01*01
TRBV6-2,TRBV6-2*01,TCRBV06-02*01,TCRBV06-02*01
TRBV6-2-1,TRBV6-2-1*01,TCRBV06-02-01*01,TCRBV06-02-01*01
TRBV6-3,TRBV6-3*01,TCRBV06-03*01,TCRBV06-03*01
TRBV6-4,TRBV6-4*01,TCRBV06-04*01,TCRBV06-04*01
TRBV6-5,TRBV6-5*01,TCRBV06-05*01,TCRBV06-05*01
TRBV6-5-1,TRBV6-5-1*01,TCRBV06-05-01*01,TCRBV06-05-01*01
TRBV6-6,TRBV6-6*01,TCRBV06-06*01,TCRBV06-06*01
TRBV6-7,TRBV6-7*01,TCRBV06-07*01,TCRBV06-07*01
TRBV6-8,TRBV6-8*01,TCRBV06-08*01,TCRBV06-08*01
TRBV7-1,TRBV7-1*01,TCRBV07-01*01,TCRBV07-01*01
TRBV7-10,TRBV7-10*01,TCRBV07-010*01,TCRBV07-010*01
TRBV7-2,TRBV7-2*01,TCRBV07-02*01,TCRBV07-02*01
TRBV7-3,TRBV7-3*01,TCRBV07-03*01,TCRBV07-03*01
TRBV7-4,TRBV7-4*01,TCRBV07-04*01,TCRBV07-04*01
TRBV7-5,TRBV7-5*01,TCRBV07-05*01,TCRBV07-05*01
TRBV7-6,TRBV7-6*01,TCRBV07-06*01,TCRBV07-06*01
TRBV7-7,TRBV7-7*01,TCRBV07-07*01,TCRBV07-07*01
TRBV7-7-1,TRBV7-7-1*01,TCRBV07-07-01*01,TCRBV07-07-01*01
TRBV7-8,TRBV7-8*01,TCRBV07-08*01,TCRBV07-08*01
TRBV7-9,TRBV7-9*01,TCRBV07-09*01,TCRBV07-09*01
TRBV8-1,TRBV8-1*01,TCRBV08-01*01,TCRBV08-01*01
TRBV8-2,TRBV8-2*01,TCRBV08-02*01,TCRBV08-02*01
TRBV9,TRBV9*01,TCRBV09-01*01,TCRBV09-01*01
TRBVA,TRBVA*01,TCRBVA-01*01,TCRBVA-01*01
TRBVB,TRBVB*01,TCRBVB-01*01,TCRBVB-01*01
TRBVC,TRBVC*01,NoData,NoData
TRDC,TRDC*01,NoData,NoData
TRDD1,TRDD1*01,TCRDD01-01*01,TCRDD01-01*01
TRDD2,TRDD2*01,TCRDD02-01*01,TCRDD02-01*01
TRDD3,TRDD3*01,TCRDD03-01*01,TCRDD03-01*01
TRDD4,TRDD4*01,TCRDD04-01*01,TCRDD04-01*01
TRDJ1,TRDJ1*01,TCRDJ01-01*01,TCRDJ01-01*01
TRDJ2,TRDJ2*01,TCRDJ02-01*01,TCRDJ02-01*01
TRDJ3,TRDJ3*01,TCRDJ03-01*01,TCRDJ03-01*01
TRDJ4,TRDJ4*01,TCRDJ04-01*01,TCRDJ04-01*01
TRDV1,TRDV1*01,TCRDV01-01*01,TCRDV01-01*01
TRDV1-1,TRDV1-1*01,TCRDV01-01*01,TCRDV01-01*01
TRDV2,TRDV2*01,TCRDV02-01*01,TCRDV02-01*01
TRDV3,TRDV3*01,TCRDV03-01*01,TCRDV03-01*01
TRDV4,TRDV4*01,TCRDV04-01*01,TCRDV04-01*01
TRGC1,TRGC1*01,NoData,NoData
TRGC2,TRGC2*01,NoData,NoData
TRGJ1-1,TRGJ1-1*01,TCRGJ01-01*01,TCRGJ01-01*01
TRGJ1-2,TRGJ1-2*01,TCRGJ01-02*01,TCRGJ01-02*01
TRGJ2-1,TRGJ2-1*01,TCRGJ02-01*01,TCRGJ02-01*01
TRGJ2-2,TRGJ2-2*01,TCRGJ02-02*01,TCRGJ02-02*01
TRGJ2-3,TRGJ2-3*01,TCRGJ02-03*01,TCRGJ02-03*01
TRGV1,TRGV1*01,TCRGV01-01*01,TCRGV01-01*01
TRGV10,TRGV10*01,TCRGV10-01*01,TCRGV10-01*01
TRGV11,TRGV11*01,TCRGV11-01*01,TCRGV11-01*01
TRGV2,TRGV2*01,TCRGV02-01*01,TCRGV02-01*01
TRGV3,TRGV3*01,TCRGV03-01*01,TCRGV03-01*01
TRGV6,TRGV6*01,TCRGV06-01*01,TCRGV06-01*01
TRGV8,TRGV8*01,TCRGV08-01*01,TCRGV08-01*01
TRGV9,TRGV9*01,TCRGV09-01*01,TCRGV09-01*01
TRGVA,TRGVA*01,TCRGVA-01*01,TCRGVA-01*01
TRGVB,TRGVB*01,TCRGVB-01*01,TCRGVB-01*01
TRGVC,TRGVC*01,NoData,NoData
TRGVD,TRGVD*01,TCRGVD-01*01,TCRGVD-01*01
