adaptive,adaptivev2,imgt,tenx
TCRAJ15,TCRAJ15,TRAJ15*01,TRAJ15
TCRAJ15*01,TCRAJ15*01,TRAJ15*01,TRAJ15
TCRAJ15*02,TCRAJ15*02,TRAJ15*02,TRAJ15
TCRAJ15-01,TCRAJ15-01,TRAJ15*01,TRAJ15
TCRAJ15-01*01,TCRAJ15-01*01,TRAJ15*01,TRAJ15
TCRAJ15-01*02,TCRAJ15-01*02,TRAJ15*02,TRAJ15
TCRAJ16,TCRAJ16,TRAJ16*01,TRAJ16
TCRAJ16*01,TCRAJ16*01,TRAJ16*01,TRAJ16
TCRAJ16*02,TCRAJ16*02,TRAJ16*02,TRAJ16
TCRAJ16-01,TCRAJ16-01,TRAJ16*01,TRAJ16
TCRAJ16-01*01,TCRAJ16-01*01,TRAJ16*01,TRAJ16
TCRAJ16-01*02,TCRAJ16-01*02,TRAJ16*02,TRAJ16
TCRAJ17,TCRAJ17,TRAJ17*01,TRAJ17
TCRAJ17*01,TCRAJ17*01,TRAJ17*01,TRAJ17
TCRAJ17-01,TCRAJ17-01,TRAJ17*01,TRAJ17
TCRAJ17-01*01,TCRAJ17-01*01,TRAJ17*01,TRAJ17
TCRAJ18,TCRAJ18,TRAJ18*01,TRAJ18
TCRAJ18*01,TCRAJ18*01,TRAJ18*01,TRAJ18
TCRAJ18-01,TCRAJ18-01,TRAJ18*01,TRAJ18
TCRAJ18-01*01,TCRAJ18-01*01,TRAJ18*01,TRAJ18
TCRAJ19,TCRAJ19,TRAJ19*01,TRAJ19
TCRAJ19*01,TCRAJ19*01,TRAJ19*01,TRAJ19
TCRAJ19-01,TCRAJ19-01,TRAJ19*01,TRAJ19
TCRAJ19-01*01,TCRAJ19-01*01,TRAJ19*01,TRAJ19
TCRAJ20,TCRAJ20,TRAJ20*01,TRAJ20
TCRAJ20*01,TCRAJ20*01,TRAJ20*01,TRAJ20
TCRAJ20-01,TCRAJ20-01,TRAJ20*01,TRAJ20
TCRAJ20-01*01,TCRAJ20-01*01,TRAJ20*01,TRAJ20
TCRAJ21,TCRAJ21,TRAJ21*01,TRAJ21
TCRAJ21*01,TCRAJ21*01,TRAJ21*01,TRAJ21
TCRAJ21-01,TCRAJ21-01,TRAJ21*01,TRAJ21
TCRAJ21-01*01,TCRAJ21-01*01,TRAJ21*01,TRAJ21
TCRAJ22,TCRAJ22,TRAJ22*01,TRAJ22
TCRAJ22*01,TCRAJ22*01,TRAJ22*01,TRAJ22
TCRAJ22-01,TCRAJ22-01,TRAJ22*01,TRAJ22
TCRAJ22-01*01,TCRAJ22-01*01,TRAJ22*01,TRAJ22
TCRAJ23,TCRAJ23,TRAJ23*01,TRAJ23
TCRAJ23*01,TCRAJ23*01,TRAJ23*01,TRAJ23
TCRAJ23*02,TCRAJ23*02,TRAJ23*02,TRAJ23
TCRAJ23-01,TCRAJ23-01,TRAJ23*01,TRAJ23
TCRAJ23-01*01,TCRAJ23-01*01,TRAJ23*01,TRAJ23
TCRAJ23-01*02,TCRAJ23-01*02,TRAJ23*02,TRAJ23
TCRAJ24,TCRAJ24,TRAJ24*01,TRAJ24
TCRAJ24*01,TCRAJ24*01,TRAJ24*01,TRAJ24
TCRAJ24*02,TCRAJ24*02,TRAJ24*02,TRAJ24
TCRAJ24*03,TCRAJ24*03,TRAJ24*03,TRAJ24
TCRAJ24-01,TCRAJ24-01,TRAJ24*01,TRAJ24
TCRAJ24-01*01,TCRAJ24-01*01,TRAJ24*01,TRAJ24
TCRAJ24-01*02,TCRAJ24-01*02,TRAJ24*02,TRAJ24
TCRAJ24-01*03,TCRAJ24-01*03,TRAJ24*03,TRAJ24
TCRAJ25,TCRAJ25,TRAJ25*01,TRAJ25
TCRAJ25*01,TCRAJ25*01,TRAJ25*01,TRAJ25
TCRAJ25-01,TCRAJ25-01,TRAJ25*01,TRAJ25
TCRAJ25-01*01,TCRAJ25-01*01,TRAJ25*01,TRAJ25
TCRAJ26,TCRAJ26,TRAJ26*01,TRAJ26
TCRAJ26*01,TCRAJ26*01,TRAJ26*01,TRAJ26
TCRAJ26-01,TCRAJ26-01,TRAJ26*01,TRAJ26
TCRAJ26-01*01,TCRAJ26-01*01,TRAJ26*01,TRAJ26
TCRAJ27,TCRAJ27,TRAJ27*01,TRAJ27
TCRAJ27*01,TCRAJ27*01,TRAJ27*01,TRAJ27
TCRAJ27-01,TCRAJ27-01,TRAJ27*01,TRAJ27
TCRAJ27-01*01,TCRAJ27-01*01,TRAJ27*01,TRAJ27
TCRAJ28,TCRAJ28,TRAJ28*01,TRAJ28
TCRAJ28*01,TCRAJ28*01,TRAJ28*01,TRAJ28
TCRAJ28-01,TCRAJ28-01,TRAJ28*01,TRAJ28
TCRAJ28-01*01,TCRAJ28-01*01,TRAJ28*01,TRAJ28
TCRAJ29,TCRAJ29,TRAJ29*01,TRAJ29
TCRAJ29*01,TCRAJ29*01,TRAJ29*01,TRAJ29
TCRAJ29-01,TCRAJ29-01,TRAJ29*01,TRAJ29
TCRAJ29-01*01,TCRAJ29-01*01,TRAJ29*01,TRAJ29
TCRAJ30,TCRAJ30,TRAJ30*01,TRAJ30
TCRAJ30*01,TCRAJ30*01,TRAJ30*01,TRAJ30
TCRAJ30-01,TCRAJ30-01,TRAJ30*01,TRAJ30
TCRAJ30-01*01,TCRAJ30-01*01,TRAJ30*01,TRAJ30
TCRAJ31,TCRAJ31,TRAJ31*01,TRAJ31
TCRAJ31*01,TCRAJ31*01,TRAJ31*01,TRAJ31
TCRAJ31-01,TCRAJ31-01,TRAJ31*01,TRAJ31
TCRAJ31-01*01,TCRAJ31-01*01,TRAJ31*01,TRAJ31
TCRAJ32,TCRAJ32,TRAJ32*01,TRAJ32
TCRAJ32*01,TCRAJ32*01,TRAJ32*01,TRAJ32
TCRAJ32*02,TCRAJ32*02,TRAJ32*02,TRAJ32
TCRAJ32-01,TCRAJ32-01,TRAJ32*01,TRAJ32
TCRAJ32-01*01,TCRAJ32-01*01,TRAJ32*01,TRAJ32
TCRAJ32-01*02,TCRAJ32-01*02,TRAJ32*02,TRAJ32
TCRAJ33,TCRAJ33,TRAJ33*01,TRAJ33
TCRAJ33*01,TCRAJ33*01,TRAJ33*01,TRAJ33
TCRAJ33-01,TCRAJ33-01,TRAJ33*01,TRAJ33
TCRAJ33-01*01,TCRAJ33-01*01,TRAJ33*01,TRAJ33
TCRAJ34,TCRAJ34,TRAJ34*01,TRAJ34
TCRAJ34*01,TCRAJ34*01,TRAJ34*01,TRAJ34
TCRAJ34-01,TCRAJ34-01,TRAJ34*01,TRAJ34
TCRAJ34-01*01,TCRAJ34-01*01,TRAJ34*01,TRAJ34
TCRAJ35,TCRAJ35,TRAJ35*01,TRAJ35
TCRAJ35*01,TCRAJ35*01,TRAJ35*01,TRAJ35
TCRAJ35-01,TCRAJ35-01,TRAJ35*01,TRAJ35
TCRAJ35-01*01,TCRAJ35-01*01,TRAJ35*01,TRAJ35
TCRAJ36,TCRAJ36,TRAJ36*01,TRAJ36
TCRAJ36*01,TCRAJ36*01,TRAJ36*01,TRAJ36
TCRAJ36-01,TCRAJ36-01,TRAJ36*01,TRAJ36
TCRAJ36-01*01,TCRAJ36-01*01,TRAJ36*01,TRAJ36
TCRAJ37,TCRAJ37,TRAJ37*01,TRAJ37
TCRAJ37*01,TCRAJ37*01,TRAJ37*01,TRAJ37
TCRAJ37*02,TCRAJ37*02,TRAJ37*02,TRAJ37
TCRAJ37-01,TCRAJ37-01,TRAJ37*01,TRAJ37
TCRAJ37-01*01,TCRAJ37-01*01,TRAJ37*01,TRAJ37
TCRAJ37-01*02,TCRAJ37-01*02,TRAJ37*02,TRAJ37
TCRAJ38,TCRAJ38,TRAJ38*01,TRAJ38
TCRAJ38*01,TCRAJ38*01,TRAJ38*01,TRAJ38
TCRAJ38-01,TCRAJ38-01,TRAJ38*01,TRAJ38
TCRAJ38-01*01,TCRAJ38-01*01,TRAJ38*01,TRAJ38
TCRAJ39,TCRAJ39,TRAJ39*01,TRAJ39
TCRAJ39*01,TCRAJ39*01,TRAJ39*01,TRAJ39
TCRAJ39-01,TCRAJ39-01,TRAJ39*01,TRAJ39
TCRAJ39-01*01,TCRAJ39-01*01,TRAJ39*01,TRAJ39
TCRAJ40,TCRAJ40,TRAJ40*01,TRAJ40
TCRAJ40*01,TCRAJ40*01,TRAJ40*01,TRAJ40
TCRAJ40-01,TCRAJ40-01,TRAJ40*01,TRAJ40
TCRAJ40-01*01,TCRAJ40-01*01,TRAJ40*01,TRAJ40
TCRAJ41,TCRAJ41,TRAJ41*01,TRAJ41
TCRAJ41*01,TCRAJ41*01,TRAJ41*01,TRAJ41
TCRAJ41-01,TCRAJ41-01,TRAJ41*01,TRAJ41
TCRAJ41-01*01,TCRAJ41-01*01,TRAJ41*01,TRAJ41
TCRAJ42,TCRAJ42,TRAJ42*01,TRAJ42
TCRAJ42*01,TCRAJ42*01,TRAJ42*01,TRAJ42
TCRAJ42-01,TCRAJ42-01,TRAJ42*01,TRAJ42
TCRAJ42-01*01,TCRAJ42-01*01,TRAJ42*01,TRAJ42
TCRAJ43,TCRAJ43,TRAJ43*01,TRAJ43
TCRAJ43*01,TCRAJ43*01,TRAJ43*01,TRAJ43
TCRAJ43-01,TCRAJ43-01,TRAJ43*01,TRAJ43
TCRAJ43-01*01,TCRAJ43-01*01,TRAJ43*01,TRAJ43
TCRAJ44,TCRAJ44,TRAJ44*01,TRAJ44
TCRAJ44*01,TCRAJ44*01,TRAJ44*01,TRAJ44
TCRAJ44-01,TCRAJ44-01,TRAJ44*01,TRAJ44
TCRAJ44-01*01,TCRAJ44-01*01,TRAJ44*01,TRAJ44
TCRAJ45,TCRAJ45,TRAJ45*01,TRAJ45
TCRAJ45*01,TCRAJ45*01,TRAJ45*01,TRAJ45
TCRAJ45-01,TCRAJ45-01,TRAJ45*01,TRAJ45
TCRAJ45-01*01,TCRAJ45-01*01,TRAJ45*01,TRAJ45
TCRAJ46,TCRAJ46,TRAJ46*01,TRAJ46
TCRAJ46*01,TCRAJ46*01,TRAJ46*01,TRAJ46
TCRAJ46-01,TCRAJ46-01,TRAJ46*01,TRAJ46
TCRAJ46-01*01,TCRAJ46-01*01,TRAJ46*01,TRAJ46
TCRAJ47,TCRAJ47,TRAJ47*01,TRAJ47
TCRAJ47*01,TCRAJ47*01,TRAJ47*01,TRAJ47
TCRAJ47*02,TCRAJ47*02,TRAJ47*02,TRAJ47
TCRAJ47-01,TCRAJ47-01,TRAJ47*01,TRAJ47
TCRAJ47-01*01,TCRAJ47-01*01,TRAJ47*01,TRAJ47
TCRAJ47-01*02,TCRAJ47-01*02,TRAJ47*02,TRAJ47
TCRAJ48,TCRAJ48,TRAJ48*01,TRAJ48
TCRAJ48*01,TCRAJ48*01,TRAJ48*01,TRAJ48
TCRAJ48-01,TCRAJ48-01,TRAJ48*01,TRAJ48
TCRAJ48-01*01,TCRAJ48-01*01,TRAJ48*01,TRAJ48
TCRAJ49,TCRAJ49,TRAJ49*01,TRAJ49
TCRAJ49*01,TCRAJ49*01,TRAJ49*01,TRAJ49
TCRAJ49-01,TCRAJ49-01,TRAJ49*01,TRAJ49
TCRAJ49-01*01,TCRAJ49-01*01,TRAJ49*01,TRAJ49
TCRAJ50,TCRAJ50,TRAJ50*01,TRAJ50
TCRAJ50*01,TCRAJ50*01,TRAJ50*01,TRAJ50
TCRAJ50-01,TCRAJ50-01,TRAJ50*01,TRAJ50
TCRAJ50-01*01,TCRAJ50-01*01,TRAJ50*01,TRAJ50
TCRAJ51,TCRAJ51,TRAJ51*01,TRAJ51
TCRAJ51*01,TCRAJ51*01,TRAJ51*01,TRAJ51
TCRAJ51-01,TCRAJ51-01,TRAJ51*01,TRAJ51
TCRAJ51-01*01,TCRAJ51-01*01,TRAJ51*01,TRAJ51
TCRAJ52,TCRAJ52,TRAJ52*01,TRAJ52
TCRAJ52*01,TCRAJ52*01,TRAJ52*01,TRAJ52
TCRAJ52-01,TCRAJ52-01,TRAJ52*01,TRAJ52
TCRAJ52-01*01,TCRAJ52-01*01,TRAJ52*01,TRAJ52
TCRAJ53,TCRAJ53,TRAJ53*01,TRAJ53
TCRAJ53*01,TCRAJ53*01,TRAJ53*01,TRAJ53
TCRAJ53-01,TCRAJ53-01,TRAJ53*01,TRAJ53
TCRAJ53-01*01,TCRAJ53-01*01,TRAJ53*01,TRAJ53
TCRAJ54,TCRAJ54,TRAJ54*01,TRAJ54
TCRAJ54*01,TCRAJ54*01,TRAJ54*01,TRAJ54
TCRAJ54-01,TCRAJ54-01,TRAJ54*01,TRAJ54
TCRAJ54-01*01,TCRAJ54-01*01,TRAJ54*01,TRAJ54
TCRAJ55,TCRAJ55,TRAJ55*01,TRAJ55
TCRAJ55*01,TCRAJ55*01,TRAJ55*01,TRAJ55
TCRAJ55-01,TCRAJ55-01,TRAJ55*01,TRAJ55
TCRAJ55-01*01,TCRAJ55-01*01,TRAJ55*01,TRAJ55
TCRAJ56,TCRAJ56,TRAJ56*01,TRAJ56
TCRAJ56*01,TCRAJ56*01,TRAJ56*01,TRAJ56
TCRAJ56-01,TCRAJ56-01,TRAJ56*01,TRAJ56
TCRAJ56-01*01,TCRAJ56-01*01,TRAJ56*01,TRAJ56
TCRAJ57,TCRAJ57,TRAJ57*01,TRAJ57
TCRAJ57*01,TCRAJ57*01,TRAJ57*01,TRAJ57
TCRAJ57-01,TCRAJ57-01,TRAJ57*01,TRAJ57
TCRAJ57-01*01,TCRAJ57-01*01,TRAJ57*01,TRAJ57
TCRAJ58,TCRAJ58,TRAJ58*01,TRAJ58
TCRAJ58*01,TCRAJ58*01,TRAJ58*01,TRAJ58
TCRAJ58-01,TCRAJ58-01,TRAJ58*01,TRAJ58
TCRAJ58-01*01,TCRAJ58-01*01,TRAJ58*01,TRAJ58
TCRAJ59,TCRAJ59,TRAJ59*01,TRAJ59
TCRAJ59*01,TCRAJ59*01,TRAJ59*01,TRAJ59
TCRAJ59-01,TCRAJ59-01,TRAJ59*01,TRAJ59
TCRAJ59-01*01,TCRAJ59-01*01,TRAJ59*01,TRAJ59
TCRAJ60,TCRAJ60,TRAJ60*01,TRAJ60
TCRAJ60*01,TCRAJ60*01,TRAJ60*01,TRAJ60
TCRAJ60-01,TCRAJ60-01,TRAJ60*01,TRAJ60
TCRAJ60-01*01,TCRAJ60-01*01,TRAJ60*01,TRAJ60
TCRAJ61,TCRAJ61,TRAJ61*01,TRAJ61
TCRAJ61*01,TCRAJ61*01,TRAJ61*01,TRAJ61
TCRAJ61-01,TCRAJ61-01,TRAJ61*01,TRAJ61
TCRAJ61-01*01,TCRAJ61-01*01,TRAJ61*01,TRAJ61
TCRAV01-01,TCRAV01-01,TRAV1-1*01,TRAV1-1
TCRAV01-01*01,TCRAV01-01*01,TRAV1-1*01,TRAV1-1
TCRAV01-01*02,TCRAV01-01*02,TRAV1-1*02,TRAV1-1
TCRAV01-02,TCRAV01-02,TRAV1-2*01,TRAV1-2
TCRAV01-02*01,TCRAV01-02*01,TRAV1-2*01,TRAV1-2
TCRAV01-02*02,TCRAV01-02*02,TRAV1-2*02,TRAV1-2
TCRAV01-02*03,TCRAV01-02*03,TRAV1-2*03,TRAV1-2
TCRAV02,TCRAV02,TRAV2*01,TRAV2
TCRAV02*01,TCRAV02*01,TRAV2*01,TRAV2
TCRAV02*02,TCRAV02*02,TRAV2*02,TRAV2
TCRAV02-01,TCRAV02-01,TRAV2*01,TRAV2
TCRAV02-01*01,TCRAV02-01*01,TRAV2*01,TRAV2
TCRAV02-01*02,TCRAV02-01*02,TRAV2*02,TRAV2
TCRAV03,TCRAV03,TRAV3*01,TRAV3
TCRAV03*01,TCRAV03*01,TRAV3*01,TRAV3
TCRAV03*02,TCRAV03*02,TRAV3*02,TRAV3
TCRAV03-01,TCRAV03-01,TRAV3*01,TRAV3
TCRAV03-01*01,TCRAV03-01*01,TRAV3*01,TRAV3
TCRAV03-01*02,TCRAV03-01*02,TRAV3*02,TRAV3
TCRAV04,TCRAV04,TRAV4*01,TRAV4
TCRAV04*01,TCRAV04*01,TRAV4*01,TRAV4
TCRAV04-01,TCRAV04-01,TRAV4*01,TRAV4
TCRAV04-01*01,TCRAV04-01*01,TRAV4*01,TRAV4
TCRAV05,TCRAV05,TRAV5*01,TRAV5
TCRAV05*01,TCRAV05*01,TRAV5*01,TRAV5
TCRAV05-01,TCRAV05-01,TRAV5*01,TRAV5
TCRAV05-01*01,TCRAV05-01*01,TRAV5*01,TRAV5
TCRAV06,TCRAV06,TRAV6*01,TRAV6
TCRAV06*01,TCRAV06*01,TRAV6*01,TRAV6
TCRAV06*02,TCRAV06*02,TRAV6*02,TRAV6
TCRAV06*03,TCRAV06*03,TRAV6*03,TRAV6
TCRAV06*04,TCRAV06*04,TRAV6*04,TRAV6
TCRAV06*05,TCRAV06*05,TRAV6*05,TRAV6
TCRAV06*06,TCRAV06*06,TRAV6*06,TRAV6
TCRAV06*07,TCRAV06*07,TRAV6*07,TRAV6
TCRAV06-01,TCRAV06-01,TRAV6*01,TRAV6
TCRAV06-01*01,TCRAV06-01*01,TRAV6*01,TRAV6
TCRAV06-01*02,TCRAV06-01*02,TRAV6*02,TRAV6
TCRAV06-01*03,TCRAV06-01*03,TRAV6*03,TRAV6
TCRAV06-01*04,TCRAV06-01*04,TRAV6*04,TRAV6
TCRAV06-01*05,TCRAV06-01*05,TRAV6*05,TRAV6
TCRAV06-01*06,TCRAV06-01*06,TRAV6*06,TRAV6
TCRAV06-01*07,TCRAV06-01*07,TRAV6*07,TRAV6
TCRAV07,TCRAV07,TRAV7*01,TRAV7
TCRAV07*01,TCRAV07*01,TRAV7*01,TRAV7
TCRAV07-01,TCRAV07-01,TRAV7*01,TRAV7
TCRAV07-01*01,TCRAV07-01*01,TRAV7*01,TRAV7
TCRAV08-01,TCRAV08-01,TRAV8-1*01,TRAV8-1
TCRAV08-01*01,TCRAV08-01*01,TRAV8-1*01,TRAV8-1
TCRAV08-01*02,TCRAV08-01*02,TRAV8-1*02,TRAV8-1
TCRAV08-02,TCRAV08-02,TRAV8-2*01,TRAV8-2
TCRAV08-02*01,TCRAV08-02*01,TRAV8-2*01,TRAV8-2
TCRAV08-02*02,TCRAV08-02*02,TRAV8-2*02,TRAV8-2
TCRAV08-02*03,TCRAV08-02*03,TRAV8-2*03,TRAV8-2
TCRAV08-03,TCRAV08-03,TRAV8-3*01,TRAV8-3
TCRAV08-03*01,TCRAV08-03*01,TRAV8-3*01,TRAV8-3
TCRAV08-03*02,TCRAV08-03*02,TRAV8-3*02,TRAV8-3
TCRAV08-03*03,TCRAV08-03*03,TRAV8-3*03,TRAV8-3
TCRAV08-04,TCRAV08-04,TRAV8-4*01,TRAV8-4
TCRAV08-04*01,TCRAV08-04*01,TRAV8-4*01,TRAV8-4
TCRAV08-04*02,TCRAV08-04*02,TRAV8-4*02,TRAV8-4
TCRAV08-04*03,TCRAV08-04*03,TRAV8-4*03,TRAV8-4
TCRAV08-04*04,TCRAV08-04*04,TRAV8-4*04,TRAV8-4
TCRAV08-04*05,TCRAV08-04*05,TRAV8-4*05,TRAV8-4
TCRAV08-04*06,TCRAV08-04*06,TRAV8-4*06,TRAV8-4
TCRAV08-04*07,TCRAV08-04*07,TRAV8-4*07,TRAV8-4
TCRAV08-05,TCRAV08-05,TRAV8-5*01,TRAV8-5
TCRAV08-05*01,TCRAV08-05*01,TRAV8-5*01,TRAV8-5
TCRAV08-06,TCRAV08-06,TRAV8-6*01,TRAV8-6
TCRAV08-06*01,TCRAV08-06*01,TRAV8-6*01,TRAV8-6
TCRAV08-06*02,TCRAV08-06*02,TRAV8-6*02,TRAV8-6
TCRAV08-06-01,TCRAV08-06-01,TRAV8-6-1*01,TRAV8-6-1
TCRAV08-06-01*01,TCRAV08-06-01*01,TRAV8-6-1*01,TRAV8-6-1
TCRAV08-07,TCRAV08-07,TRAV8-7*01,TRAV8-7
TCRAV08-07*01,TCRAV08-07*01,TRAV8-7*01,TRAV8-7
TCRAV08-07*02,TCRAV08-07*02,TRAV8-7*02,TRAV8-7
TCRAV09-01,TCRAV09-01,TRAV9-1*01,TRAV9-1
TCRAV09-01*01,TCRAV09-01*01,TRAV9-1*01,TRAV9-1
TCRAV09-02,TCRAV09-02,TRAV9-2*01,TRAV9-2
TCRAV09-02*01,TCRAV09-02*01,TRAV9-2*01,TRAV9-2
TCRAV09-02*02,TCRAV09-02*02,TRAV9-2*02,TRAV9-2
TCRAV09-02*03,TCRAV09-02*03,TRAV9-2*03,TRAV9-2
TCRAV09-02*04,TCRAV09-02*04,TRAV9-2*04,TRAV9-2
TCRAV10,TCRAV10,TRAV10*01,TRAV10
TCRAV10*01,TCRAV10*01,TRAV10*01,TRAV10
TCRAV10*02,TCRAV10*02,TRAV10*02,TRAV10
TCRAV10-01,TCRAV10-01,TRAV10*01,TRAV10
TCRAV10-01*01,TCRAV10-01*01,TRAV10*01,TRAV10
TCRAV10-01*02,TCRAV10-01*02,TRAV10*02,TRAV10
TCRAV11,TCRAV11,TRAV11*01,TRAV11
TCRAV11*01,TCRAV11*01,TRAV11*01,TRAV11
TCRAV11-01,TCRAV11-01,TRAV11-1*01,TRAV11-1
TCRAV11-01*01,TCRAV11-01*01,TRAV11-1*01,TRAV11-1
TCRAV12-01,TCRAV12-01,TRAV12-1*01,TRAV12-1
TCRAV12-01*01,TCRAV12-01*01,TRAV12-1*01,TRAV12-1
TCRAV12-01*02,TCRAV12-01*02,TRAV12-1*02,TRAV12-1
TCRAV12-02,TCRAV12-02,TRAV12-2*01,TRAV12-2
TCRAV12-02*01,TCRAV12-02*01,TRAV12-2*01,TRAV12-2
TCRAV12-02*02,TCRAV12-02*02,TRAV12-2*02,TRAV12-2
TCRAV12-02*03,TCRAV12-02*03,TRAV12-2*03,TRAV12-2
TCRAV12-03,TCRAV12-03,TRAV12-3*01,TRAV12-3
TCRAV12-03*01,TCRAV12-03*01,TRAV12-3*01,TRAV12-3
TCRAV12-03*02,TCRAV12-03*02,TRAV12-3*02,TRAV12-3
TCRAV13-01,TCRAV13-01,TRAV13-1*01,TRAV13-1
TCRAV13-01*01,TCRAV13-01*01,TRAV13-1*01,TRAV13-1
TCRAV13-01*02,TCRAV13-01*02,TRAV13-1*02,TRAV13-1
TCRAV13-01*03,TCRAV13-01*03,TRAV13-1*03,TRAV13-1
TCRAV13-02,TCRAV13-02,TRAV13-2*01,TRAV13-2
TCRAV13-02*01,TCRAV13-02*01,TRAV13-2*01,TRAV13-2
TCRAV13-02*02,TCRAV13-02*02,TRAV13-2*02,TRAV13-2
TCRAV14-01,TCRAV14-01,TRAV14-1*01,TRAV14-1
TCRAV14-01*01,TCRAV14-01*01,TRAV14-1*01,TRAV14-1
TCRAV14-01*02,TCRAV14-01*02,TRAV14-1*02,TRAV14-1
TCRAV14,TCRAV14,TRAV14/DV4*01,TRAV14DV4
TCRAV14*01,TCRAV14*01,TRAV14/DV4*01,TRAV14DV4
TCRAV14*02,TCRAV14*02,TRAV14/DV4*02,TRAV14DV4
TCRAV14*03,TCRAV14*03,TRAV14/DV4*03,TRAV14DV4
TCRAV14*04,TCRAV14*04,TRAV14/DV4*04,TRAV14DV4
TCRAV15,TCRAV15,TRAV15*01,TRAV15
TCRAV15*01,TCRAV15*01,TRAV15*01,TRAV15
TCRAV15-01,TCRAV15-01,TRAV15*01,TRAV15
