imgt,tenx,adaptive,adaptivev2
TRAV14/DV4*04,TRAV14/DV4,TCRAV14-01*04,TCRAV14-01*04
TRAV15*01,TRAV15,TCRAV15-01*01,TCRAV15-01*01
TRAV16*01,TRAV16,TCRAV16-01*01,TCRAV16-01*01
TRAV17*01,TRAV17,TCRAV17-01*01,TCRAV17-01*01
TRAV18*01,TRAV18,TCRAV18-01*01,TCRAV18-01*01
TRAV19*01,TRAV19,TCRAV19-01*01,TCRAV19-01*01
TRAV2*01,TRAV2,TCRAV02-01*01,TCRAV02-01*01
TRAV2*02,TRAV2,TCRAV02-01*02,TCRAV02-01*02
TRAV20*01,TRAV20,TCRAV20-01*01,TCRAV20-01*01
TRAV20*02,TRAV20,TCRAV20-01*02,TCRAV20-01*02
TRAV20*03,TRAV20,TCRAV20-01*03,TCRAV20-01*03
TRAV20*04,TRAV20,TCRAV20-01*04,TCRAV20-01*04
TRAV21*01,TRAV21,TCRAV21-01*01,TCRAV21-01*01
TRAV21*02,TRAV21,TCRAV21-01*02,TCRAV21-01*02
TRAV22*01,TRAV22,TCRAV22-01*01,TCRAV22-01*01
TRAV23/DV6*01,TRAV23/DV6,TCRAV23-01*01,TCRAV23-01*01
TRAV23/DV6*02,TRAV23/DV6,TCRAV23-01*02,TCRAV23-01*02
TRAV23/DV6*03,TRAV23/DV6,TCRAV23-01*03,TCRAV23-01*03
TRAV23/DV6*04,TRAV23/DV6,TCRAV23-01*04,TCRAV23-01*04
TRAV23/DV6*05,TRAV23/DV6,TCRAV23-01*05,TCRAV23-01*05
TRAV24*01,TRAV24,TCRAV24-01*01,TCRAV24-01*01
TRAV24*02,TRAV24,TCRAV24-01*02,TCRAV24-01*02
TRAV25*01,TRAV25,TCRAV25-01*01,TCRAV25-01*01
TRAV26-1*01,TRAV26-1,TCRAV26-01*01,TCRAV26-01*01
TRAV26-1*02,TRAV26-1,TCRAV26-01*02,TCRAV26-01*02
TRAV26-1*03,TRAV26-1,TCRAV26-01*03,TCRAV26-01*03
TRAV26-2*01,TRAV26-2,TCRAV26-02*01,TCRAV26-02*01
TRAV26-2*02,TRAV26-2,TCRAV26-02*02,TCRAV26-02*02
TRAV27*01,TRAV27,TCRAV27-01*01,TCRAV27-01*01
TRAV27*02,TRAV27,TCRAV27-01*02,TCRAV27-01*02
TRAV27*03,TRAV27,TCRAV27-01*03,TCRAV27-01*03
TRAV28*01,TRAV28,TCRAV28-01*01,TCRAV28-01*01
TRAV28*02,TRAV28,TCRAV28-01*02,TCRAV28-01*02
TRAV29/DV5*01,TRAV29/DV5,TCRAV29-01*01,TCRAV29-01*01
TRAV29/DV5*02,TRAV29/DV5,TCRAV29-01*02,TCRAV29-01*02
TRAV29/DV5*03,TRAV29/DV5,TCRAV29-01*03,TCRAV29-01*03
TRAV29/DV5*04,TRAV29/DV5,TCRAV29-01*04,TCRAV29-01*04
TRAV3*01,TRAV3,TCRAV03-01*01,TCRAV03-01*01
TRAV3*02,TRAV3,TCRAV03-01*02,TCRAV03-01*02
TRAV30*01,TRAV30,TCRAV30-01*01,TCRAV30-01*01
TRAV30*02,TRAV30,TCRAV30-01*02,TCRAV30-01*02
TRAV30*03,TRAV30,TCRAV30-01*03,TCRAV30-01*03
TRAV30*04,TRAV30,TCRAV30-01*04,TCRAV30-01*04
TRAV30*05,TRAV30,TCRAV30-01*05,TCRAV30-01*05
TRAV31*01,TRAV31,TCRAV31-01*01,TCRAV31-01*01
TRAV31*02,TRAV31,TCRAV31-01*02,TCRAV31-01*02
TRAV32*01,TRAV32,TCRAV32-01*01,TCRAV32-01*01
TRAV33*01,TRAV33,TCRAV33-01*01,TCRAV33-01*01
TRAV33*02,TRAV33,TCRAV33-01*02,TCRAV33-01*02
TRAV34*01,TRAV34,TCRAV34-01*01,TCRAV34-01*01
TRAV35*01,TRAV35,TCRAV35-01*01,TCRAV35-01*01
TRAV35*02,TRAV35,TCRAV35-01*02,TCRAV35-01*02
TRAV35*03,TRAV35,TCRAV35-01*03,TCRAV35-01*03
TRAV36/DV7*01,TRAV36/DV7,TCRAV36-01*01,TCRAV36-01*01
TRAV36/DV7*02,TRAV36/DV7,TCRAV36-01*02,TCRAV36-01*02
TRAV36/DV7*03,TRAV36/DV7,TCRAV36-01*03,TCRAV36-01*03
TRAV36/DV7*04,TRAV36/DV7,TCRAV36-01*04,TCRAV36-01*04
TRAV36/DV7*05,TRAV36/DV7,TCRAV36-01*05,TCRAV36-01*05
TRAV37*01,TRAV37,TCRAV37-01*01,TCRAV37-01*01
TRAV38-1*01,TRAV38-1,TCRAV38-01*01,TCRAV38-01*01
TRAV38-1*02,TRAV38-1,TCRAV38-01*02,TCRAV38-01*02
TRAV38-1*03,TRAV38-1,TCRAV38-01*03,TCRAV38-01*03
TRAV38-1*04,TRAV38-1,TCRAV38-01*04,TCRAV38-01*04
TRAV38-2/DV8*01,TRAV38-2/DV8,TCRAV38-02*01,TCRAV38-02*01
TRAV39*01,TRAV39,TCRAV39-01*01,TCRAV39-01*01
TRAV4*01,TRAV4,TCRAV04-01*01,TCRAV04-01*01
TRAV40*01,TRAV40,TCRAV40-01*01,TCRAV40-01*01
TRAV41*01,TRAV41,TCRAV41-01*01,TCRAV41-01*01
TRAV46*01,TRAV46,TCRAV46-01*01,TCRAV46-01*01
TRAV5*01,TRAV5,TCRAV05-01*01,TCRAV05-01*01
TRAV6*01,TRAV6,TCRAV06-01*01,TCRAV06-01*01
TRAV6*02,TRAV6,TCRAV06-01*02,TCRAV06-01*02
TRAV6*03,TRAV6,TCRAV06-01*03,TCRAV06-01*03
TRAV6*04,TRAV6,TCRAV06-01*04,TCRAV06-01*04
TRAV6*05,TRAV6,TCRAV06-01*05,TCRAV06-01*05
TRAV6*06,TRAV6,TCRAV06-01*06,TCRAV06-01*06
TRAV6*07,TRAV6,TCRAV06-01*07,TCRAV06-01*07
TRAV7*01,TRAV7,TCRAV07-01*01,TCRAV07-01*01
TRAV8-1*01,TRAV8-1,TCRAV08-01*01,TCRAV08-01*01
TRAV8-1*02,TRAV8-1,TCRAV08-01*02,TCRAV08-01*02
TRAV8-2*01,TRAV8-2,TCRAV08-02*01,TCRAV08-02*01
TRAV8-2*02,TRAV8-2,TCRAV08-02*02,TCRAV08-02*02
TRAV8-2*03,TRAV8-2,TCRAV08-02*03,TCRAV08-02*03
TRAV8-3*01,TRAV8-3,TCRAV08-03*01,TCRAV08-03*01
TRAV8-3*02,TRAV8-3,TCRAV08-03*02,TCRAV08-03*02
TRAV8-3*03,TRAV8-3,TCRAV08-03*03,TCRAV08-03*03
TRAV8-4*01,TRAV8-4,TCRAV08-04*01,TCRAV08-04*01
TRAV8-4*02,TRAV8-4,TCRAV08-04*02,TCRAV08-04*02
TRAV8-4*03,TRAV8-4,TCRAV08-04*03,TCRAV08-04*03
TRAV8-4*04,TRAV8-4,TCRAV08-04*04,TCRAV08-04*04
TRAV8-4*05,TRAV8-4,TCRAV08-04*05,TCRAV08-04*05
TRAV8-4*06,TRAV8-4,TCRAV08-04*06,TCRAV08-04*06
TRAV8-4*07,TRAV8-4,TCRAV08-04*07,TCRAV08-04*07
TRAV8-5*01,TRAV8-5,TCRAV08-05*01,TCRAV08-05*01
TRAV8-6*01,TRAV8-6,TCRAV08-06*01,TCRAV08-06*01
TRAV8-6*02,TRAV8-6,TCRAV08-06*02,TCRAV08-06*02
TRAV8-6-1*01,TRAV8-6-1,TCRAV08-06-01*01,TCRAV08-06-01*01
TRAV8-7*01,TRAV8-7,TCRAV08-07*01,TCRAV08-07*01
TRAV8-7*02,TRAV8-7,TCRAV08-07*02,TCRAV08-07*02
TRAV9-1*01,TRAV9-1,TCRAV09-01*01,TCRAV09-01*01
TRAV9-2*01,TRAV9-2,TCRAV09-02*01,TCRAV09-02*01
TRAV9-2*02,TRAV9-2,TCRAV09-02*02,TCRAV09-02*02
TRAV9-2*03,TRAV9-2,TCRAV09-02*03,TCRAV09-02*03
TRAV9-2*04,TRAV9-2,TCRAV09-02*04,TCRAV09-02*04
TRAVA*01,TRAVA,TCRAVA-01*01,TCRAVA-01*01
TRAVA*02,TRAVA,TCRAVA-01*02,TCRAVA-01*02
TRAVB*01,TRAVB,TCRAVB-01*01,TCRAVB-01*01
TRAVB*02,TRAVB,TCRAVB-01*02,TCRAVB-01*02
TRAVC*01,TRAVC,NoData,NoData
TRBC1*01,TRBC1,NoData,NoData
TRBC1*02,TRBC1,NoData,NoData
TRBC1*03,TRBC1,NoData,NoData
TRBC2*01,TRBC2,NoData,NoData
TRBC2*02,TRBC2,NoData,NoData
TRBC2*03,TRBC2,NoData,NoData
TRBD1*01,TRBD1,TCRBD01-01*01,TCRBD01-01*01
TRBD2*01,TRBD2,TCRBD02-01*01,TCRBD02-01*01
TRBD2*02,TRBD2,TCRBD02-01*02,TCRBD02-01*02
TRBJ1-1*01,TRBJ1-1,TCRBJ01-01*01,TCRBJ01-01*01
TRBJ1-2*01,TRBJ1-2,TCRBJ01-02*01,TCRBJ01-02*01
TRBJ1-3*01,TRBJ1-3,TCRBJ01-03*01,TCRBJ01-03*01
TRBJ1-4*01,TRBJ1-4,TCRBJ01-04*01,TCRBJ01-04*01
TRBJ1-5*01,TRBJ1-5,TCRBJ01-05*01,TCRBJ01-05*01
TRBJ1-6*01,TRBJ1-6,TCRBJ01-06*01,TCRBJ01-06*01
TRBJ1-6*02,TRBJ1-6,TCRBJ01-06*02,TCRBJ01-06*02
TRBJ2-1*01,TRBJ2-1,TCRBJ02-01*01,TCRBJ02-01*01
TRBJ2-2*01,TRBJ2-2,TCRBJ02-02*01,TCRBJ02-02*01
TRBJ2-2P*01,TRBJ2-2P,TCRBJ02-02P*01,TCRBJ02-02P*01
TRBJ2-3*01,TRBJ2-3,TCRBJ02-03*01,TCRBJ02-03*01
TRBJ2-4*01,TRBJ2-4,TCRBJ02-04*01,TCRBJ02-04*01
TRBJ2-5*01,TRBJ2-5,TCRBJ02-05*01,TCRBJ02-05*01
TRBJ2-6*01,TRBJ2-6,TCRBJ02-06*01,TCRBJ02-06*01
TRBJ2-7*01,TRBJ2-7,TCRBJ02-07*01,TCRBJ02-07*01
TRBJ2-7*02,TRBJ2-7,TCRBJ02-07*02,TCRBJ02-07*02
TRBV1*01,TRBV1,TCRBV01-01*01,TCRBV01-01*01
TRBV10-1*01,TRBV10-1,TCRBV10-01*01,TCRBV10-01*01
TRBV10-1*02,TRBV10-1,TCRBV10-01*02,TCRBV10-01*02
TRBV10-1*03,TRBV10-1,TCRBV10-01*03,TCRBV10-01*03
TRBV10-2*01,TRBV10-2,TCRBV10-02*01,TCRBV10-02*01
TRBV10-2*02,TRBV10-2,TCRBV10-02*02,TCRBV10-02*02
TRBV10-3*01,TRBV10-3,TCRBV10-03*01,TCRBV10-03*01
TRBV10-3*02,TRBV10-3,TCRBV10-03*02,TCRBV10-03*02
TRBV10-3*03,TRBV10-3,TCRBV10-03*03,TCRBV10-03*03
TRBV10-3*04,TRBV10-3,TCRBV10-03*04,TCRBV10-03*04
TRBV11-1*01,TRBV11-1,TCRBV11-01*01,TCRBV11-01*01
TRBV11-2*01,TRBV11-2,TCRBV11-02*01,TCRBV11-02*01
TRBV11-2*02,TRBV11-2,TCRBV11-02*02,TCRBV11-02*02
TRBV11-2*03,TRBV11-2,TCRBV11-02*03,TCRBV11-02*03
TRBV11-3*01,TRBV11-3,TCRBV11-03*01,TCRBV11-03*01
TRBV11-3*02,TRBV11-3,TCRBV11-03*02,TCRBV11-03*02
TRBV11-3*03,TRBV11-3,TCRBV11-03*03,TCRBV11-03*03
TRBV11-3*04,TRBV11-3,TCRBV11-03*04,TCRBV11-03*04
TRBV12-1*01,TRBV12-1,TCRBV12-01*01,TCRBV12-01*01
TRBV12-2*01,TRBV12-2,TCRBV12-02*01,TCRBV12-02*01
TRBV12-3*01,TRBV12-3,TCRBV12-03*01,TCRBV12-03*01
TRBV12-4*01,TRBV12-4,TCRBV12-04*01,TCRBV12-04*01
TRBV12-4*02,TRBV12-4,TCRBV12-04*02,TCRBV12-04*02
TRBV12-5*01,TRBV12-5,TCRBV12-05*01,TCRBV12-05*01
TRBV13*01,TRBV13,TCRBV13-01*01,TCRBV13-01*01
TRBV13*02,TRBV13,TCRBV13-01*02,TCRBV13-01*02
TRBV14*01,TRBV14,TCRBV14-01*01,TCRBV14-01*01
TRBV14*02,TRBV14,TCRBV14-01*02,TCRBV14-01*02
TRBV15*01,TRBV15,TCRBV15-01*01,TCRBV15-01*01
TRBV15*02,TRBV15,TCRBV15-01*02,TCRBV15-01*02
TRBV15*03,TRBV15,TCRBV15-01*03,TCRBV15-01*03
TRBV16*01,TRBV16,TCRBV16-01*01,TCRBV16-01*01
TRBV16*02,TRBV16,TCRBV16-01*02,TCRBV16-01*02
TRBV16*03,TRBV16,TCRBV16-01*03,TCRBV16-01*03
TRBV17*01,TRBV17,TCRBV17-01*01,TCRBV17-01*01
TRBV17*02,TRBV17,TCRBV17-01*02,TCRBV17-01*02
TRBV18*01,TRBV18,TCRBV18-01*01,TCRBV18-01*01
TRBV19*01,TRBV19,TCRBV19-01*01,TCRBV19-01*01
TRBV19*02,TRBV19,TCRBV19-01*02,TCRBV19-01*02
TRBV19*03,TRBV19,TCRBV19-01*03,TCRBV19-01*03
TRBV2*01,TRBV2,TCRBV02-01*01,TCRBV02-01*01
TRBV2*02,TRBV2,TCRBV02-01*02,TCRBV02-01*02
TRBV2*03,TRBV2,TCRBV02-01*03,TCRBV02-01*03
TRBV20-1*01,TRBV20-1,TCRBV20-01*01,TCRBV20-01*01
TRBV20-1*02,TRBV20-1,TCRBV20-01*02,TCRBV20-01*02
TRBV20-1*03,TRBV20-1,TCRBV20-01*03,TCRBV20-01*03
TRBV20-1*04,TRBV20-1,TCRBV20-01*04,TCRBV20-01*04
TRBV20-1*05,TRBV20-1,TCRBV20-01*05,TCRBV20-01*05
TRBV20-1*06,TRBV20-1,TCRBV20-01*06,TCRBV20-01*06
TRBV20-1*07,TRBV20-1,TCRBV20-01*07,TCRBV20-01*07
TRBV20/OR9-2*01,TRBV20/OR9-2,TCRBV20-or09_02*01,TCRBV20-or09_02*01
TRBV20/OR9-2*02,TRBV20/OR9-2,TCRBV20-or09_02*02,TCRBV20-or09_02*02
TRBV20/OR9-2*03,TRBV20/OR9-2,TCRBV20-or09_02*03,TCRBV20-or09_02*03
TRBV21-1*01,TRBV21-1,TCRBV21-01*01,TCRBV21-01*01
TRBV21-1*02,TRBV21-1,TCRBV21-01*02,TCRBV21-01*02
TRBV21/OR9-2*01,TRBV21/OR9-2,TCRBV21-or09_02*01,TCRBV21-or09_02*01
TRBV22-1*01,TRBV22-1,TCRBV22-01*01,TCRBV22-01*01
TRBV22/OR9-2*01,TRBV22/OR9-2,TCRBV22-or09_02*01,TCRBV22-or09_02*01
TRBV23-1*01,TRBV23-1,TCRBV23-01*01,TCRBV23-01*01
TRBV23/OR9-2*01,TRBV23/OR9-2,TCRBV23-or09_02*01,TCRBV23-or09_02*01
TRBV23/OR9-2*02,TRBV23/OR9-2,TCRBV23-or09_02*02,TCRBV23-or09_02*02
TRBV24-1*01,TRBV24-1,TCRBV24-01*01,TCRBV24-01*01
TRBV24-1*02,TRBV24-1,TCRBV24-01*02,TCRBV24-01*02
TRBV24/OR9-2*01,TRBV24/OR9-2,TCRBV24-or09_02*01,TCRBV24-or09_02*01
TRBV24/OR9-2*02,TRBV24/OR9-2,TCRBV24-or09_02*02,TCRBV24-or09_02*02
TRBV24/OR9-2*03,TRBV24/OR9-2,TCRBV24-or09_02*03,TCRBV24-or09_02*03
TRBV25-1*01,TRBV25-1,TCRBV25-01*01,TCRBV25-01*01
TRBV25/OR9-2*01,TRBV25/OR9-2,TCRBV25-or09_02*01,TCRBV25-or09_02*01
TRBV25/OR9-2*02,TRBV25/OR9-2,TCRBV25-or09_02*02,TCRBV25-or09_02*02
TRBV26*01,TRBV26,TCRBV26-01*01,TCRBV26-01*01
TRBV26/OR9-2*01,TRBV26/OR9-2,TCRBV26-or09_02*01,TCRBV26-or09_02*01
TRBV26/OR9-2*02,TRBV26/OR9-2,TCRBV26-or09_02*02,TCRBV26-or09_02*02
TRBV27*01,TRBV27,TCRBV27-01*01,TCRBV27-01*01
TRBV28*01,TRBV28,TCRBV28-01*01,TCRBV28-01*01
TRBV29-1*01,TRBV29-1,TCRBV29-01*01,TCRBV29-01*01
TRBV29-1*02,TRBV29-1,TCRBV29-01*02,TCRBV29-01*02
TRBV29-1*03,TRBV29-1,TCRBV29-01*03,TCRBV29-01*03
TRBV29/OR9-2*01,TRBV29/OR9-2,TCRBV29-or09_02*01,TCRBV29-or09_02*01
TRBV29/OR9-2*02,TRBV29/OR9-2,TCRBV29-or09_02*02,TCRBV29-or09_02*02
TRBV3-1*01,TRBV3-1,TCRBV03-01*01,TCRBV03-01*01
TRBV3-1*02,TRBV3-1,TCRBV03-01*02,TCRBV03-01*02
TRBV3-2*01,TRBV3-2,TCRBV03-02*01,TCRBV03-02*01
TRBV3-2*02,TRBV3-2,TCRBV03-02*02,TCRBV03-02*02
TRBV3-2*03,TRBV3-2,TCRBV03-02*03,TCRBV03-02*03
TRBV30*01,TRBV30,TCRBV30-01*01,TCRBV30-01*01
TRBV30*02,TRBV30,TCRBV30-01*02,TCRBV30-01*02
TRBV30*03,TRBV30,TCRBV30-01*03,TCRBV30-01*03
TRBV30*04,TRBV30,TCRBV30-01*04,TCRBV30-01*04
TRBV30*05,TRBV30,TCRBV30-01*05,TCRBV30-01*05
TRBV4-1*01,TRBV4-1,TCRBV04-01*01,TCRBV04-01*01
TRBV4-1*02,TRBV4-1,TCRBV04-01*02,TCRBV04-01*02
TRBV4-2*01,TRBV4-2,TCRBV04-02*01,TCRBV04-02*01
TRBV4-2*02,TRBV4-2,TCRBV04-02*02,TCRBV04-02*02
TRBV4-3*01,TRBV4-3,TCRBV04-03*01,TCRBV04-03*01
TRBV4-3*02,TRBV4-3,TCRBV04-03*02,TCRBV04-03*02
TRBV4-3*03,TRBV4-3,TCRBV04-03*03,TCRBV04-03*03
TRBV4-3*04,TRBV4-3,TCRBV04-03*04,TCRBV04-03*04
TRBV5-1*01,TRBV5-1,TCRBV05-01*01,TCRBV05-01*01
TRBV5-1*02,TRBV5-1,TCRBV05-01*02,TCRBV05-01*02
TRBV5-2*01,TRBV5-2,TCRBV05-02*01,TCRBV05-02*01
TRBV5-3*01,TRBV5-3,TCRBV05-03*01,TCRBV05-03*01
TRBV5-3*02,TRBV5-3,TCRBV05-03*02,TCRBV05-03*02
TRBV5-4*01,TRBV5-4,TCRBV05-04*01,TCRBV05-04*01
TRBV5-4*02,TRBV5-4,TCRBV05-04*02,TCRBV05-04*02
TRBV5-4*03,TRBV5-4,TCRBV05-04*03,TCRBV05-04*03
TRBV5-4*04,TRBV5-4,TCRBV05-04*04,TCRBV05-04*04
TRBV5-5*01,TRBV5-5,TCRBV05-05*01,TCRBV05-05*01
TRBV5-5*02,TRBV5-5,TCRBV05-05*02,TCRBV05-05*02
TRBV5-5*03,TRBV5-5,TCRBV05-05*03,TCRBV05-05*03
TRBV5-6*01,TRBV5-6,TCRBV05-06*01,TCRBV05-06*01
TRBV5-7*01,TRBV5-7,TCRBV05-07*01,TCRBV05-07*01
TRBV5-8*01,TRBV5-8,TCRBV05-08*01,TCRBV05-08*01
TRBV5-8*02,TRBV5-8,TCRBV05-08*02,TCRBV05-08*02
TRBV6-1*01,TRBV6-1,TCRBV06-01*01,TCRBV06-01*01
TRBV6-2*01,TRBV6-2,TCRBV06-02*01,TCRBV06-02*01
TRBV6-3*01,TRBV6-3,TCRBV06-03*01,TCRBV06-03*01
TRBV6-4*01,TRBV6-4,TCRBV06-04*01,TCRBV06-04*01
TRBV6-4*02,TRBV6-4,TCRBV06-04*02,TCRBV06-04*02
TRBV6-5*01,TRBV6-5,TCRBV06-05*01,TCRBV06-05*01
TRBV6-6*01,TRBV6-6,TCRBV06-06*01,TCRBV06-06*01
